0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,label
-196.22938537597656,87.73284912109375,-85.00912475585938,-16.845726013183594,-32.84961700439453,-8.364181518554688,-10.168657302856445,-3.6642935276031494,2.6120989322662354,0.19163177907466888,-11.489150047302246,-0.1768399327993393,-17.03282928466797,149.7906412573094,75.14958940318127,0.1526858578821656,1679.9866926998254,2845.4916401273886,1275.1433642318202,0
-223.5234832763672,114.44947052001953,-5.305891513824463,28.104984283447266,-1.3893975019454956,0.39015302062034607,-1.399174451828003,-5.411851406097412,0.9920506477355957,-4.843008041381836,-2.586730480194092,3.343179225921631,3.116086721420288,170.0818506349311,66.05803417800453,0.1327876194267516,1673.1683323615105,3111.763535031847,1519.3240423331404,0
-295.5187683105469,77.86408996582031,-23.029144287109375,20.928741455078125,-15.321072578430176,-15.471161842346191,-16.361682891845703,-4.942417621612549,-5.642007350921631,-6.532252788543701,-8.936890602111816,-6.675232410430908,-11.30290412902832,211.20715485130555,72.75419560355687,0.14043839570063693,1925.2302821888766,3701.084792993631,1713.6418286964122,0
-174.6125030517578,166.80438232421875,-34.44119644165039,25.074138641357422,-15.456380844116211,-7.265664100646973,-22.399860382080078,-18.530067443847656,-6.678786277770996,4.144592761993408,4.741237163543701,-3.848052501678467,-0.9752339124679565,178.91435096110663,73.05825264082003,0.07996305234872611,954.2130010907248,1730.7921974522294,922.4874583929238,0
-407.7091064453125,105.10077667236328,-36.994232177734375,-3.1833372116088867,-17.951255798339844,-4.389705181121826,-12.890149116516113,-1.680141806602478,-5.773935317993164,13.778270721435547,-5.145622253417969,-0.688605785369873,-7.0985107421875,194.1459775014357,68.21025963368439,0.11114774084394904,1531.882633268274,2800.059713375796,1442.7162307572985,0
-291.0216369628906,76.94125366210938,-29.072906494140625,-9.174212455749512,-3.2127552032470703,-7.192368030548096,-27.053375244140625,-13.887431144714355,-14.890055656433105,-2.619251012802124,-6.882575988769531,-8.78229808807373,-9.073712348937988,177.19286136175268,73.77245308544528,0.16258832603503184,1990.872790501192,3760.6986464968154,1747.9448489321055,0
-323.50543212890625,42.55640411376953,-12.163948059082031,2.3834145069122314,-20.44194793701172,-10.796894073486328,-19.871002197265625,-11.746213912963867,-9.171483039855957,-2.188715934753418,-9.072583198547363,-7.377631187438965,-12.42374324798584,182.23516508029863,77.11616045896689,0.22645364749203822,2601.7560419125057,4967.107882165605,1976.2011891876275,0
-265.3172912597656,51.67132568359375,-26.582080841064453,1.6000789403915405,-15.013033866882324,-15.897727966308594,-18.21499252319336,-3.370478391647339,-16.507055282592773,-2.745549201965332,-14.909231185913086,-5.4223761558532715,-5.973133087158203,207.7596250247877,66.70997000574707,0.19913788813694266,2287.7331899079436,4149.781050955414,1775.6826409987214,0
-206.41957092285156,101.08502960205078,-77.14571380615234,-28.20789337158203,-24.049070358276367,-17.0286922454834,-9.026309967041016,0.5179831981658936,-0.07039112597703934,-4.09652853012085,-9.185273170471191,-3.990557909011841,-9.523213386535645,143.63927697558532,68.72822031621762,0.15877848825636942,1644.3249172323192,2521.496815286624,1208.177659615575,1
-201.8173828125,96.37548065185547,-80.27488708496094,-26.404632568359375,-24.677989959716797,-21.49215316772461,-9.717761039733887,2.6342337131500244,-2.717250108718872,-5.643560886383057,-6.28778600692749,-5.895435333251953,-14.807085037231445,148.2165714549763,74.24131882107156,0.14630399084394904,1590.8335674536693,2533.4892515923566,1221.6150627215939,1
-201.59796142578125,105.0364761352539,-75.74266815185547,-10.81896686553955,-20.774635314941406,-9.67585277557373,-5.385252475738525,5.924780368804932,1.494606614112854,4.216335773468018,-3.3118064403533936,1.5530935525894165,-5.987514972686768,144.71630739966525,67.51663384029662,0.13946805334394904,1554.4020793113948,2532.543789808917,1206.6070884988305,1
-223.8538818359375,109.65494537353516,-73.87518310546875,-21.75374984741211,-22.0999813079834,-8.69327163696289,-8.96329116821289,9.277641296386719,-2.7784388065338135,4.112406253814697,-4.729129314422607,-2.7301251888275146,-6.972846031188965,146.33712739961467,71.26193720420801,0.14406473925159236,1520.3570465582752,2395.00398089172,1160.211255971988,1
-200.36532592773438,80.86276245117188,-74.75363159179688,-31.03907585144043,-25.901418685913086,-15.051045417785645,-10.684207916259766,2.794969320297241,-6.912639617919922,0.44648420810699463,-9.01248550415039,-0.42317646741867065,-10.656087875366211,145.85795857855513,71.7336322896927,0.16722855294585987,1791.9235258793542,2933.4693471337578,1328.0247942268404,1
